id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
4893,2023-04-17,9,32,4,33,16,2023-04-17 00:00:00.0000,2023-04-17 00:00:00.0000
4894,2023-04-18,17,33,21,31,11,2023-04-18 00:00:00.0000,2023-04-18 00:00:00.0000
4895,2023-04-19,39,15,34,33,20,2023-04-19 00:00:00.0000,2023-04-19 00:00:00.0000
4896,2023-04-20,37,4,19,29,22,2023-04-20 00:00:00.0000,2023-04-20 00:00:00.0000
4897,2023-04-21,7,32,26,28,2,2023-04-21 00:00:00.0000,2023-04-21 00:00:00.0000
4898,2023-04-22,29,27,21,10,14,2023-04-22 00:00:00.0000,2023-04-22 00:00:00.0000
4899,2023-04-24,24,16,21,10,1,2023-04-24 00:00:00.0000,2023-04-24 00:00:00.0000
4900,2023-04-25,12,36,5,34,1,2023-04-25 00:00:00.0000,2023-04-25 00:00:00.0000
4901,2023-04-26,33,2,21,29,20,2023-04-26 00:00:00.0000,2023-04-26 00:00:00.0000
4902,2023-04-27,32,3,39,22,13,2023-04-27 00:00:00.0000,2023-04-27 00:00:00.0000
4903,2023-04-28,39,11,10,36,7,2023-04-28 00:00:00.0000,2023-04-28 00:00:00.0000
4904,2023-04-29,22,32,8,6,38,2023-04-29 00:00:00.0000,2023-04-29 00:00:00.0000
4905,2023-05-01,20,28,31,10,14,2023-05-01 00:00:00.0000,2023-05-01 00:00:00.0000
4906,2023-05-02,27,1,29,5,3,2023-05-02 00:00:00.0000,2023-05-02 00:00:00.0000
4907,2023-05-03,34,7,26,35,5,2023-05-03 00:00:00.0000,2023-05-03 00:00:00.0000
4908,2023-05-04,34,14,25,26,23,2023-05-04 00:00:00.0000,2023-05-04 00:00:00.0000
4909,2023-05-05,32,1,24,30,7,2023-05-05 00:00:00.0000,2023-05-05 00:00:00.0000
4910,2023-05-06,5,32,28,26,4,2023-05-06 00:00:00.0000,2023-05-06 00:00:00.0000
4911,2023-05-08,3,34,7,27,29,2023-05-08 00:00:00.0000,2023-05-08 00:00:00.0000
4912,2023-05-09,36,2,23,13,4,2023-05-09 00:00:00.0000,2023-05-09 00:00:00.0000
4913,2023-05-10,11,37,31,25,12,2023-05-10 00:00:00.0000,2023-05-10 00:00:00.0000
4914,2023-05-11,34,5,27,4,9,2023-05-11 00:00:00.0000,2023-05-11 00:00:00.0000
4915,2023-05-12,25,20,21,14,23,2023-05-12 00:00:00.0000,2023-05-12 00:00:00.0000
4916,2023-05-13,27,12,15,35,3,2023-05-13 00:00:00.0000,2023-05-13 00:00:00.0000
4917,2023-05-15,24,7,6,5,8,2023-05-15 00:00:00.0000,2023-05-15 00:00:00.0000
4918,2023-05-16,36,27,13,25,38,2023-05-16 00:00:00.0000,2023-05-16 00:00:00.0000
4919,2023-05-17,30,14,5,38,11,2023-05-17 00:00:00.0000,2023-05-17 00:00:00.0000
4920,2023-05-18,36,32,8,34,20,2023-05-18 00:00:00.0000,2023-05-18 00:00:00.0000
4921,2023-05-19,33,27,34,36,16,2023-05-19 00:00:00.0000,2023-05-19 00:00:00.0000
4922,2023-05-20,10,24,1,28,34,2023-05-20 00:00:00.0000,2023-05-20 00:00:00.0000
4923,2023-05-22,10,39,15,31,25,2023-05-22 00:00:00.0000,2023-05-22 00:00:00.0000
4924,2023-05-23,35,38,34,10,14,2023-05-23 00:00:00.0000,2023-05-23 00:00:00.0000
4925,2023-05-24,10,8,34,16,21,2023-05-24 00:00:00.0000,2023-05-24 00:00:00.0000
4926,2023-05-25,33,20,18,14,16,2023-05-25 00:00:00.0000,2023-05-25 00:00:00.0000
4927,2023-05-26,13,7,22,6,29,2023-05-26 00:00:00.0000,2023-05-26 00:00:00.0000
4928,2023-05-27,25,24,18,39,1,2023-05-27 00:00:00.0000,2023-05-27 00:00:00.0000
4929,2023-05-29,14,10,1,27,37,2023-05-29 00:00:00.0000,2023-05-29 00:00:00.0000
4930,2023-05-30,12,15,20,5,21,2023-05-30 00:00:00.0000,2023-05-30 00:00:00.0000
4931,2023-05-31,34,6,7,36,5,2023-05-31 00:00:00.0000,2023-05-31 00:00:00.0000
4932,2023-06-01,25,8,27,34,18,2023-06-01 00:00:00.0000,2023-06-01 00:00:00.0000
4933,2023-06-02,4,9,8,37,22,2023-06-02 00:00:00.0000,2023-06-02 00:00:00.0000
4934,2023-06-03,23,13,3,7,34,2023-06-03 00:00:00.0000,2023-06-03 00:00:00.0000
4935,2023-06-05,20,16,5,1,29,2023-06-05 00:00:00.0000,2023-06-05 00:00:00.0000
4936,2023-06-06,11,37,29,18,26,2023-06-06 00:00:00.0000,2023-06-06 00:00:00.0000
4937,2023-06-07,11,7,8,29,3,2023-06-07 00:00:00.0000,2023-06-07 00:00:00.0000
4938,2023-06-08,15,38,12,1,23,2023-06-08 00:00:00.0000,2023-06-08 00:00:00.0000
4939,2023-06-09,15,2,17,29,13,2023-06-09 00:00:00.0000,2023-06-09 00:00:00.0000
4940,2023-06-10,19,9,8,28,1,2023-06-10 00:00:00.0000,2023-06-10 00:00:00.0000
4941,2023-06-12,13,26,8,19,22,2023-06-12 00:00:00.0000,2023-06-12 00:00:00.0000
4942,2023-06-13,29,36,37,34,24,2023-06-13 00:00:00.0000,2023-06-13 00:00:00.0000
4943,2023-06-14,6,21,34,32,1,2023-06-14 00:00:00.0000,2023-06-14 00:00:00.0000
4944,2023-06-15,18,15,21,2,11,2023-06-15 00:00:00.0000,2023-06-15 00:00:00.0000
4945,2023-06-16,9,24,39,12,28,2023-06-16 00:00:00.0000,2023-06-16 00:00:00.0000
4946,2023-06-17,36,29,9,2,20,2023-06-17 00:00:00.0000,2023-06-17 00:00:00.0000
4947,2023-06-19,36,13,1,33,39,2023-06-19 00:00:00.0000,2023-06-19 00:00:00.0000
4948,2023-06-20,25,34,11,27,37,2023-06-20 00:00:00.0000,2023-06-20 00:00:00.0000
4949,2023-06-21,23,30,9,38,2,2023-06-21 00:00:00.0000,2023-06-21 00:00:00.0000
4950,2023-06-22,33,34,6,10,39,2023-06-22 00:00:00.0000,2023-06-22 00:00:00.0000
4951,2023-06-23,24,30,20,1,13,2023-06-23 00:00:00.0000,2023-06-23 00:00:00.0000
4952,2023-06-24,13,10,7,14,22,2023-06-24 00:00:00.0000,2023-06-24 00:00:00.0000
4953,2023-06-26,5,26,20,15,14,2023-06-26 00:00:00.0000,2023-06-26 00:00:00.0000
