id,drawdate,num_1,num_2,num_3,num_4,num_5,created_at,updated_at
83,2007-04-25,19,13,15,37,29,2007-04-25 00:00:00.0000,2007-04-25 00:00:00.0000
84,2007-04-26,15,5,32,39,7,2007-04-26 00:00:00.0000,2007-04-26 00:00:00.0000
85,2007-04-27,21,10,8,23,39,2007-04-27 00:00:00.0000,2007-04-27 00:00:00.0000
86,2007-04-30,17,4,29,7,12,2007-04-30 00:00:00.0000,2007-04-30 00:00:00.0000
87,2007-05-01,1,34,22,10,39,2007-05-01 00:00:00.0000,2007-05-01 00:00:00.0000
88,2007-05-02,37,23,4,34,39,2007-05-02 00:00:00.0000,2007-05-02 00:00:00.0000
89,2007-05-03,18,5,37,25,1,2007-05-03 00:00:00.0000,2007-05-03 00:00:00.0000
90,2007-05-04,8,9,12,7,14,2007-05-04 00:00:00.0000,2007-05-04 00:00:00.0000
91,2007-05-07,9,27,28,18,4,2007-05-07 00:00:00.0000,2007-05-07 00:00:00.0000
92,2007-05-08,18,33,23,10,2,2007-05-08 00:00:00.0000,2007-05-08 00:00:00.0000
93,2007-05-09,30,3,35,36,15,2007-05-09 00:00:00.0000,2007-05-09 00:00:00.0000
94,2007-05-10,25,22,19,14,35,2007-05-10 00:00:00.0000,2007-05-10 00:00:00.0000
95,2007-05-11,24,18,21,15,19,2007-05-11 00:00:00.0000,2007-05-11 00:00:00.0000
96,2007-05-14,14,10,2,9,39,2007-05-14 00:00:00.0000,2007-05-14 00:00:00.0000
97,2007-05-15,11,5,8,23,38,2007-05-15 00:00:00.0000,2007-05-15 00:00:00.0000
98,2007-05-16,24,21,18,11,1,2007-05-16 00:00:00.0000,2007-05-16 00:00:00.0000
99,2007-05-17,4,33,6,5,13,2007-05-17 00:00:00.0000,2007-05-17 00:00:00.0000
100,2007-05-18,6,11,37,15,39,2007-05-18 00:00:00.0000,2007-05-18 00:00:00.0000
101,2007-05-21,8,23,15,20,25,2007-05-21 00:00:00.0000,2007-05-21 00:00:00.0000
102,2007-05-22,13,18,1,31,32,2007-05-22 00:00:00.0000,2007-05-22 00:00:00.0000
103,2007-05-23,29,32,21,8,4,2007-05-23 00:00:00.0000,2007-05-23 00:00:00.0000
104,2007-05-24,13,30,7,35,8,2007-05-24 00:00:00.0000,2007-05-24 00:00:00.0000
105,2007-05-25,35,4,19,13,23,2007-05-25 00:00:00.0000,2007-05-25 00:00:00.0000
106,2007-05-28,10,17,37,5,4,2007-05-28 00:00:00.0000,2007-05-28 00:00:00.0000
107,2007-05-29,14,35,29,10,15,2007-05-29 00:00:00.0000,2007-05-29 00:00:00.0000
108,2007-05-30,39,5,20,33,38,2007-05-30 00:00:00.0000,2007-05-30 00:00:00.0000
109,2007-05-31,38,21,35,33,28,2007-05-31 00:00:00.0000,2007-05-31 00:00:00.0000
110,2007-06-01,3,28,13,7,1,2007-06-01 00:00:00.0000,2007-06-01 00:00:00.0000
111,2007-06-04,36,13,7,32,4,2007-06-04 00:00:00.0000,2007-06-04 00:00:00.0000
112,2007-06-05,35,6,25,8,18,2007-06-05 00:00:00.0000,2007-06-05 00:00:00.0000
113,2007-06-06,7,20,33,28,21,2007-06-06 00:00:00.0000,2007-06-06 00:00:00.0000
114,2007-06-07,21,7,18,1,19,2007-06-07 00:00:00.0000,2007-06-07 00:00:00.0000
115,2007-06-08,37,7,16,10,1,2007-06-08 00:00:00.0000,2007-06-08 00:00:00.0000
116,2007-06-11,14,7,29,30,27,2007-06-11 00:00:00.0000,2007-06-11 00:00:00.0000
117,2007-06-12,23,5,27,15,34,2007-06-12 00:00:00.0000,2007-06-12 00:00:00.0000
118,2007-06-13,3,2,20,25,1,2007-06-13 00:00:00.0000,2007-06-13 00:00:00.0000
119,2007-06-14,26,6,10,39,12,2007-06-14 00:00:00.0000,2007-06-14 00:00:00.0000
120,2007-06-15,12,2,25,23,27,2007-06-15 00:00:00.0000,2007-06-15 00:00:00.0000
121,2007-06-18,12,2,5,16,3,2007-06-18 00:00:00.0000,2007-06-18 00:00:00.0000
122,2007-06-19,6,10,1,8,28,2007-06-19 00:00:00.0000,2007-06-19 00:00:00.0000
123,2007-06-20,38,11,7,12,23,2007-06-20 00:00:00.0000,2007-06-20 00:00:00.0000
124,2007-06-21,39,19,28,18,35,2007-06-21 00:00:00.0000,2007-06-21 00:00:00.0000
125,2007-06-22,9,22,20,25,11,2007-06-22 00:00:00.0000,2007-06-22 00:00:00.0000
126,2007-06-25,20,34,24,22,23,2007-06-25 00:00:00.0000,2007-06-25 00:00:00.0000
127,2007-06-26,15,1,33,4,25,2007-06-26 00:00:00.0000,2007-06-26 00:00:00.0000
128,2007-06-27,14,6,3,20,21,2007-06-27 00:00:00.0000,2007-06-27 00:00:00.0000
129,2007-06-28,36,35,19,22,1,2007-06-28 00:00:00.0000,2007-06-28 00:00:00.0000
130,2007-06-29,25,37,31,33,34,2007-06-29 00:00:00.0000,2007-06-29 00:00:00.0000
131,2007-07-02,13,3,28,32,21,2007-07-02 00:00:00.0000,2007-07-02 00:00:00.0000
132,2007-07-03,23,17,25,38,15,2007-07-03 00:00:00.0000,2007-07-03 00:00:00.0000
133,2007-07-04,29,19,10,18,17,2007-07-04 00:00:00.0000,2007-07-04 00:00:00.0000
134,2007-07-05,2,23,1,37,11,2007-07-05 00:00:00.0000,2007-07-05 00:00:00.0000
135,2007-07-06,39,6,31,34,35,2007-07-06 00:00:00.0000,2007-07-06 00:00:00.0000
136,2007-07-09,8,12,35,24,34,2007-07-09 00:00:00.0000,2007-07-09 00:00:00.0000
